Strength,力量
"Agonising Calamity",苦痛血祸
"Enveloping Presence",裹挟气场
"Bolstering Presence",振奋气场
"Profane Commander",渎神指挥官
"Attack Damage with Ally",友军在场时的攻击伤害
"Ally Attack Damage",友军攻击伤害
"Warlord Leader",督军领袖
"Warlord Berserker",督军狂战士
"Lone Warrior",独行战士
"Area and Presence",范围和在场
"All For One",众志成城
"One For All",舍己为人
"Triggered Spell Damage",触发法术伤害
Energy,能量
"Invocation Spell Damage",咒祈法术伤害
Energise,能量充沛
"Invocated Efficiency",祈唤高效
"Invocated Limit",祈唤上限
"Invocated Echoes",祈唤回响
"Efficient Inscriptions",高效铭文
"Invocation Critical Damage",咒祈暴击伤害
"Precise Invocations",精确咒祈
"Invocation Critical Hits",咒祈暴击击中
"Deadly Invocations",致命咒祈
"Increased Duration",持续时间延长
Protraction,延继
Preservation,厚积薄发
"Reduced Duration",降低持续时间
"Tides of Change",激变浪潮
Forthcoming,绵延不绝
"Link Buff Effect",羁绊增益效果
"Twinned Tethers",双生牵绊
"Strong Links",强韧羁绊
"Spirit Bonds",灵魂纽带
Shapeshifting,变形
"Swift Claw",迅捷之爪
"Tough Claw",强韧之爪
"Sharpened Claw",锐利之爪
"Bestial Rage",兽性怒火
"Feral Force",狂放之力
"Life Costs",生命消耗
"Life Spell Damage and Costs",生命法术伤害和消耗
"Life Spell Costs",生命法术消耗
"Life Spell Damage",生命法术伤害
"Blood Transfusion",鲜血输注
"Sacrificial Blood",献祭之血
"Critical Damage vs Full Life",对满血的暴击伤害
"Damage vs Full Life",对满血的伤害
"First Approach",第一次接触
"Damage against Enemies on Low Life",对低血敌人的伤害
"Finishing Blows",绝命追击
"Stars Aligned",群星罗列
Finality,殒殁
"Mental Perseverance",顽强精神
"Damage and Companion Damage",伤害和伙伴伤害
"Life Leech and Companion Damage",生命偷取和伙伴伤害
"Defences and Companion Life",防御和伙伴伤害
"Nourishing Ally",滋润的友军
"Thirsting Ally",饥渴的友军
"Sturdy Ally",顽强的战友
Unimpeded,畅通无阻
"Near at Hand",探囊取物
"Slow Effect on You and Attack Speed",受到的减速效果和攻击速度
"Debuff Expiry",减益消减速度
"Slow Effect",减速效果
Duration,持续时间
"Time Manipulation",操纵时光
Chronomancy,时占术
"Slow Effect and Hinder Duration",减速效果和缓速持续时间
"Hindered Capabilities",机能阻碍
"Lasting Boons",持久恩惠
"Waning Hindrances",衰落妨碍
"Debuff Expiry Rate",减益效果衰退速度
"Cooldown Recovery Rate",冷却回复率
"Temporal Mastery",时光掌控
"Slow Effect on You and Debuff Expiry Rate",对你的减速效果和减益状态失效率
"Steady Footing",稳固立足
Catalysis,催化反应
"Crystal Elixir",水晶灵药
"Emboldened Avatar",刚胆化身
"Damage vs Blinded",对致盲目标伤害
"Blind Effect",致盲效果
"Pocket Sand",袋藏飞沙
Disorientation,头昏眼花
"Frantic Swings",狂热挥击
"Distracted Target",声东击西
"Blinded Enemies Critical",致盲敌人暴击
"Critical vs Blinded",对致盲的暴击
Acceleration,加速
"Adrenaline Rush",激情冲动
"Area Damage",范围伤害
"Area Damage and Armour Break",范围伤害和护甲破损
"Attack Area Damage and Area",攻击范围伤害和范围
"Primal Growth",原始生长
"Impact Area",震荡中心
Devastation,摧枯拉朽
"Impact Force",冲击之力
Authority,权威
"Crushing Judgement",威压裁决
"Reverberating Impact",回荡冲击
"Splitting Ground",分裂大地
"Primed to Explode",引爆预备
"Detonator Area",起爆区域
"Spell Area of Effect",法术效果范围
"Spell Area Damage",法术范围伤害
Roil,喧腾
Repulsion,反斥
"Echoing Pulse",回响脉冲
Reverberation,回荡
Ruin,废灭
"Spell Damage and Projectile Speed",法术伤害和投射物速度
"Turn the Clock Back",时光倒转
"Turn the Clock Forward",时光跃进
"Psychic Fragmentation",念力分裂
"Radial Force",崩飞之力
"Cull the Hordes",汰除
Giantslayer,巨人克星
"Culling Strike Threshold",终结阈值
"Life and Mana on Kill",击败时生命和魔力
"Immobilisation Buildup",不可移动积蓄
"Bounty Hunter",赏金猎人
"Finish Them",了结他们
"Crushing Verdict",倾力裁决
"Lasting Trauma",持久创伤
"Seeing Stars",眼冒金星
Stupefy,茫然无措
"Damage and Criticals vs Dazed Enemies",对恍惚敌人的伤害和暴击
"Damage vs Dazed Enemies",对恍惚敌人的伤害
"Criticals vs Dazed Enemies",对恍惚敌人的暴击
"Daze Magnitude",恍惚强度
"Lightning and Cold Damage",闪电与冰霜伤害
"Shock Chance and Lightning Damage",感电几率和闪电伤害
"Freeze Buildup and Cold Damage",冻结积蓄和冰霜伤害
"Shattering Daze",粉碎恍惚
"Electrifying Daze",电殛恍惚
"Dizzying Hits",眩晕击中
"Armour if Hit",被击中提高护甲
Thorns,荆棘
"Thorns and Block",荆棘和格挡
"Thorns and Leech",荆棘和偷取
Revenge,报复
"Spiked Armour",倒刺护甲
Vengeance,复仇
Thornhide,荆棘之肤
"Thorns Ignore Armour",荆棘无视护甲
"Thorn Critical Damage",荆棘暴击伤害
"Armour while Surrounded",被包围时的护甲
"Evasion while Surrounded",被包围时的闪避
"In the Thick of It",刀山火海
"Thrill of Battle",鏖战热血
"Armour and Evasion while Surrounded",被包围时护甲和闪避
"Tactical Retreat",战术撤退
Paranoia,偏执
"Favourable Odds",有利胜算
"Frantic Fighter",狂热战士
"Banner Aura Effect",旗帜光环效果
"Banner Glory Gained",旗帜荣耀获取
"Banner Duration",旗帜持续时间
"Inspiring Leader",领袖英姿
"Symbol of Defiance",抗争的象征
"Reinforced Rallying",坚韧集结
"Rallying Icon",集结之兆
"Banner Area",旗帜范围
Sentinels,哨兵
"Silent Guardian",沉默卫士
"Bringer of Order",秩序使者
"Holy Protector",神圣捍卫者
Aftershocks,余震
Behemoth,巨兽
"Mark Use Speed",印记使用速度
"Marked for Sickness",弊病印记
"Mark Duration",印记持续时间
"Marked Agility",标记敏捷
Unsight,视若无睹
"Mark Effect and Blind Effect",印记效果和致盲效果
"Mark Effect and Blind Chance",印记效果和致盲几率
"Offering Life",奉献生命
"Offering Duration",奉献效果持续时间
Corpses,灵盒
Stigmata,圣痕
"Meat Recycling",血肉回收
"Offering Area",奉献范围
"Lust for Sacrifice",牺牲的渴望
"Offering Effect",奉献效果
"Utmost Offering",至高奉献
"Damage against Ailments",对异常状态伤害
"Ailment Chance",异常状态几率
"Vile Wounds",恶毒创伤
Exploit,利用
"Exploit the Elements",元素利用
"Clean Shot",一击中的
"Stand and Deliver",坚守阵地
"Death from Afar",远方的死神
"Projectile Critical Chance",投射物暴击几率
Headshot,命中目标
Brutal,凶残
Blur,模糊身影
"Honed Instincts",娴熟本能
"Raw Power",原始力量
"Pure Energy",纯粹能量
Remorseless,无情冷面
"Relentless Vindicator",无休仲裁者
"Devoted Protector",献身卫士
"Flow Like Water",势如流水
"Step Like Mist",迷踪步履
"Sudden Escalation",骤升
"Critical Overload",致命超载
"Controlling Magic",支配魔法
"Attack and Spell Damage",攻击和法术伤害
Equilibrium,魔武双修
"Knockback and Stun Buildup",击退和晕眩积蓄
Forcewave,撼地波
"Clear Space",清理空间
"Fire Penetration and Stun Buildup",火焰穿透与晕眩积蓄
"Exposed to the Inferno",迎面烈火
"Breath of Fire",火焰之息
Cremation,火焚
"Smoke Inhalation",燎烟窒息
"Overheating Blow",超温打击
"Cold Penetration",冰霜穿透
"Shattered Crystal",碎裂晶体
"Ice Walls",寒冰之壁
"Storm Swell",风暴周期
"Exposed to the Cosmos",迎面浩渺
Snowpiercer,破雪者
"Breath of Ice",寒冰之息
Glaciation,冰河世纪
Overload,超载
"Exposed to the Storm",迎面风暴
"Storm Surge",风暴激涌
"Surging Currents",喷涌电流
"Electric Amplification",电流增幅
"Lightning Rod",引雷针
Electrotherapy,电击疗法
"Attack Damage and Combo",攻击伤害和连击
"Combo Gain",连击增益
"Chakra of Impact",冲击脉轮
"Energy Shield Recharge and Delay",能量护盾充能和延迟
"Chakra of Rhythm",韵律脉轮
"Chakra of Breathing",呼吸脉轮
"Chaos Damage and Resistance",混沌伤害和抗性
"Distant Dreamer",远方的幻梦者
"Energy and Critical Chance",能量和暴击率
"Evocational Practitioner",召唤践行者
"Mana Regeneration and Attack Speed",魔力再生和攻击速度
"Chakra of Thought",思维脉轮
"Chakra of Sight",灵视脉轮
"Chakra of Life",生命脉轮
"Non-Damaging Ailment Magnitude",非伤害性异常状态强度
"Chakra of Elements",元素脉轮
"Chakra of Stability",稳定脉轮
"Stun and Freeze Buildup",晕眩和冻结积蓄
"Armour Break Duration",护甲破损持续时间
"Armour Break and Armour",护甲破损与护甲
"Damage vs Armour Broken Enemies",对护甲破损敌人的伤害
"Armour Break Effect",护甲破损效果
"The Molten One's Gift",熔岩者的馈赠
"Passthrough Rounds",穿透弹药
Breakage,破甲
"Pile On",一起上吧
Irreparable,无可修复
"Cruel Methods",凶残手段
"Eroding Chains",腐蚀锁链
"Punctured Lung",肺部穿刺
"Jagged Ground Effect",崎岖之地效果
Perforation,崎岖贯穿
"Spike Pit",尖刺深坑
"Distracting Presence",扰乱威势
Multitasking,多管齐下
"Volatile Catalyst",动荡催化剂
"Ailment Chance and Effect",异常状态几率和效果
Deterioration,退化
"Exposed Wounds",伤口外露
"Ailment Effect and Duration",异常状态效果和持续时间
"Fast Acting Toxins",速效毒素
"Projectile Ailment Chance",投射物异常状态几率
"Quiver Effect",箭袋效果
"Master Fletching",制箭大师
"Wrapped Quiver",封装箭袋
"Reduced Projectile Speed",投射物速度降低
"Grenade Cooldown Recovery Rate",榴弹冷却回复速度
"Grenade Area",榴弹范围
Grenadier,掷弹兵
"Cluster Bombs",集束炸弹
"Volatile Grenades",动荡榴弹
"Grenade Fuse Duration",榴弹引信持续时间
"Utility Ordnance",实用军械
Demolitionist,爆破专家
"Pin Duration",定身持续时间
"Pin their Motivation",锁定动机
"Sitting Duck",呆头鸭
"Pin and Run",若即若离
Lockdown,封锁
"Primal Protection",原始防护
"Vale Shelter",遮风避雨
"Thicket Warding",林荫守御
"Lucky Rabbit Foot",幸运兔脚
"Woodland Aspect",深林守护
"Hunter's Talisman",猎人的魔符
"Charm Duration",咒符持续时间
"Charm Charges Used",咒符充能使用
"Charm Effect",咒符效果
"Charm Activation Chance",咒符激活几率
"Charm Charges",咒符充能
"Easy Going",随和
"Inspiring Ally",协力振作
"Nurturing Guardian",贴心的守护者
"Man's Beast Friend",人类最好的朋友
"Long Distance Relationship",长距离关系
"Unspoken Bond",情在不言中
"Lifelong Friend",终生的好友
"Tandem Assault",协同突击
"Presence Area and Companion Area",在场范围和伙伴范围
"Companion Reservation",伙伴保留
"Sic 'Em",放狗咬他们
"Companion Revive Speed",伙伴复活速度
"Ailment Threshold and Companion Resistance",异常状态阈值和伙伴抗性
"Attack Speed and Companion Attack Speed",攻击速度和伙伴攻击速度
"Shredding Contraptions",粉碎装置
"Escalating Mayhem",混乱四起
"Efficient Contraptions",高效装置
"Hazard Rearm Chance",危害重新武装几率
"Hazard Damage",危害伤害
"Hazard Duration",危害持续时间
"Delayed Gratification",延迟满足
"Hazard Area",危害区域
"Widespread Coverage",广泛覆盖
"Hindering Obstacles",阻挠障碍
"Hazard Immobilisation Buildup",危害不可移动积蓄
"Infused Limits",灌注上限
"Infusing Power",灌注之力
"Everlasting Infusions",永恒灌注
"Empowering Infusions",强化灌注
"Infusion Chance",灌注几率
"Infusion Duration",灌注持续时间
"Infusion Consumption Chance",灌注消耗几率
"Frozen Limit",冻结上限
"Infernal Limit",炼狱上限
"Shocking Limit",电震上限
"Unstable Bond",动荡牵绊
"Controlled Chaos",受控的混沌
"Volatility on Kill",击败时无常
"Volatility when Stunned",被晕眩时无常
"Volatility Detonation Time",无常引爆时间
"Precise Volatility",精确无常
"Glory Generation and Attack Damage",荣耀产生和攻击伤害
"Glory Generation",荣耀产生
"Invigorating Grandeur",欢欣威严
"Everlasting Glory",永恒荣耀
"Chance to not Consume Glory",不消耗荣耀的几率
"Attack Damage and Presence Area",攻击伤害和在场范围
"Glorious Anticipation",荣耀期待
"Thrill of the Fight",战斗的快感
"Ailment Duration",异常状态持续时间
Hunter,猎手
"Curse Effect on you",对你施加的诅咒效果
"Necromantic Ward",灵能结界
"Curse Effect on you and Life Regeneration Rate",对你的诅咒效果和生命再生率
"Movement Speed and Slow Effect on You",移动速度和对你施加的减速效果
Momentum,动量
"Light on your Feet",轻盈步伐
"Reduced Movement Penalty and Attack Damage",降低移动速度惩罚和攻击伤害
"Spray and Pray",枪林弹雨
"Run and Gun",炮轰战术
"Damage vs Immobilised and Buildup",对不可移动目标伤害和积蓄
"Damage vs Immobilised",对不可移动目标伤害
"Fearful Paralysis",恐惧麻痹
"Ballista Immobilisation Buildup",弩炮不可移动积蓄
"Ballista Damage",弩炮伤害
"Ballista Attack Speed",弩炮攻击速度
"Ballista Critical Strike and Damage",弩炮暴击和伤害
"Ballista Critical Strike",弩炮暴击
"Ballista Critical Damage",弩炮暴击伤害
"Trained Turrets",训练炮台
"Artillery Strike",炮击
"Fortified Location",坚固位置
"Kept at Bay",保持距离
"Archon Duration",执政官持续时间
"Enduring Archon",持久执政官
"Archon Delay",执政官延迟
"Resurging Archon",复兴执政官
"Archon Effect and Duration",执政官效果和持续时间
"Invigorating Archon",欢欣执政官
"Energising Archon",充能执政官
"Remnant Pickup Range",残片拾取范围
"Remnant Effect",残片效果
"Empowering Remnants",强化残片
"Vigorous Remnants",活力残片
"Arcane Remnants",秘术残片
"Spell Damage and Cast Speed",法术伤害和施法速度
"Secrets of the Orb",法球之秘
"Ignite Effect on You",对你施加的点燃效果
Flamewalker,火焰行者
"Chill Effect on You",对你施加的冰缓效果
Frostwalker,冰霜行者
"Shock Effect on You",对你施加的感电效果
Stormwalker,风暴行者
"The Great Boar",魁梧野猪
"The Spring Hare",春日野兔
"Charge Duration",充能时间
"Charge Duration and Dexterity",充能持续时间和敏捷
"The Fabled Stag",传说之鹿
"Reduced Attribute Requirements and All Attributes",降低属性需求和所有属性
"The Cunning Fox",狡黠灵狐
"The Frenzied Bear",凶狂巨熊
"Strength and Critical Damage Bonus on You",力量和对你的暴击伤害加成
"The Raging Ox",暴怒蛮牛
"The Wild Cat",荒野之豹
"Ailment Magnitude",异常状态强度
"The Noble Wolf",显贵头狼
"Accuracy Rating",命中值
"The Winter Owl",凛冬之枭
"Aura Magnitude",光环强度
"The Howling Primate",咆哮狂猿
"Poison Duration on You",对你施加的中毒持续时间
"The Ancient Serpent",远古巨蛇
"Sprint Movement Speed",奔跑移动速度
"Evasion while Sprinting",奔跑时的闪避
"Evasion and Movement Speed while Sprinting",奔跑时的闪避和移动速度
"Marathon Runner",马拉松能手
"Agile Sprinter",敏捷奔跑者
"Spell and Attack Damage",法术和攻击伤害
"Giant's Blood",巨人之血
"Necromantic Talisman",通灵魔符
Resonance,共鸣
"Walker of the Wilds",移形换影
"Dance with Death",与亡共舞
Oasis,荒漠绿洲
Bulwark,壁垒
"Crimson Assault",猩红强袭
"Trusted Kinship",情比金坚
"Hollow Palm Technique",空明之掌
"Blackflame Covenant",黑焰血誓
"Ritual Cadence",仪式节律
Warlord,督军
Titan,泰坦
Brute,死士
"Smith of Kitava",奇塔弗匠师
"Arcane Archer",秘法射手
Amazon,亚马逊
Beastmaster,兽王
Ritualist,仪祭师
Infernalist,驱炎使
"Blood Mage",命源法师
Stormweaver,风暴编织者
Chronomancer,塑时术师
"Disciple of the Djinn",巨灵门徒
Deathmarked,死亡印记
Tactician,战术家
Witchhunter,猎巫人
Gambler,博弈者
Heretic,改宗者
Phantom,幻影
"Martial Artist",绝武宗
"Master of the Elements",四象尊
"Acolyte of Chayula",夏乌拉追随者
"Slam Area of Effect",猛击效果范围
Earthbreaker,裂地之灵
"Ancestral Empowerment",先祖神威
"Surprising Strength",震撼力量
"Crushing Impacts",粉碎冲击
"Hulking Form",雄伟英姿
"Colossal Capacity",巨人神力
"Mysterious Lineage",神秘血统
"Stone Skin",磐石之肤
"Block Chance",格挡几率
"Anvil's Weight",铁砧的重量
"Imploding Impacts",内爆冲击
"Jade Heritage",青玉传承
"Warcaller's Bellow",战争司号的呐喊
"Answered Call",呼求回应
"Wooden Wall",木垒高筑
"Renly's Training",蓝礼的锤炼
"Turtle Charm",灵龟护符
"Heat of the Forge",锻炉的热浪
"Living Weapon",活体武器
"Against the Anvil",迎砧击打
"Coal Stoker",司炉的炭火
"Forged in Flame",烈焰的淬炼
"Smith's Masterwork",匠人的杰作
"Tantalum Alloy",钽质合金
"Padded Plates",衬垫铠甲
"Lead Lining",铅质内衬
"Support Straps",支承绑带
"Kitavan Engraving",奇塔弗铭文
"Heavy Bracing",负重支撑
"Leather Bindings",皮革绑绳
"Flowing Metal",液态金属
"Molten Symbol",熔火符印
"Internal Layer",内嵌分层
"Dedication to Kitava",敬奉奇塔弗
Heatproofing,绝热防护
"Beidat's Gaze",贝达特的凝视
"Beidat's Hand",贝达特之手
"Beidat's Will",贝达特的意志
"Altered Flesh",重塑身躯
"Demonic Possession",修罗入魔
"Mastered Darkness",驾驭黑暗
"Pyromantic Pact",火卜契约
"Bringer of Flame",烈焰使者
"Grinning Immolation",狰狞奉献
"Loyal Hellhound",忠诚的炽焰猎犬
"Seething Body",沸腾之躯
"Bleed on Critical Chance",暴击时流血几率
"Gore Spike",创伤尖刺
"Sunder the Flesh",皮开肉绽
"Blood Barbs",赤红刀锋
"Whispers of the Flesh",血肉私语
"Vitality Siphon",活力虹吸
"Grasping Wounds",弥久伤痕
"Sanguine Tides",血腥潮汐
"Crystalline Phylactery",结晶护命匣
"Rupture the Soul",灵魂破裂
"Necromantic Conduit",通灵导体
"Blackened Heart",黑化之心
"Soulless Form",无魂形态
"Eternal Life",永恒的生命
"Price of Power",力量的代价
"Eldritch Empowerment",古神赋力
"Incessant Cacophony",无休嘈杂
"Chill Duration",冰缓持续时间
"Remnant Range",残片范围
"Constant Gale",不息强风
"Force of Will",意志的力量
"Tempest Caller",风暴呼唤者
"Multiplying Squalls",倍增飑风
"Strike Twice",惊霆复至
"Heavy Snows",漫天雪暴
"Storm's Recollection",风暴回忆
"Refracted Infusion",折射灌注
"Buff Expiry Rate",增益状态消减速度
"Curse Delay",诅咒延迟
"Cast Speed and Area of Effect",施法速度和效果范围
"Footprints in the Sand",涉沙留痕
"Ultimate Command",极限掌控
Inevitability,无可违逆
"The Rapid River",急浪奔流
"Now and Again",周而复始
"Unbound Encore",不羁再现
"Apex of the Moment",巅峰时刻
"Quicksand Hourglass",迅时沙漏
Spirit,精神
"A Solid Plan",可靠的计划
"Watch How I Do It",给我学着点
"Whoever Pays Best",价高者得
"Suppressing Fire",火力抑制
"Right Where We Want Them",正中下怀
"Polish That Gear",抛光装备
"Stay Light, Use Cover",轻装与掩蔽
"Cannons, Ready!",炮兵就位！
"Unleash Hell!",倾泻火力！
"Strategic Embankments",战略堤防
"Damage vs Low Life Enemies",对低血敌人的伤害
"Pitiless Killer",冷血执行者
"Judge, Jury, and Executioner",判罪惩恶人
Witchbane,女巫克星
"No Mercy",绝无慈悲
"Obsessive Rituals",痴狂仪式
"Ceremonial Ablution",净罪礼仪
"Zealous Inquisition",狂热审讯
"Weapon Master",武器大师
"Skill Gem Quality",技能宝石品质
Attributes,属性
"Crystalline Potential",结晶潜力
"Implanted Gems",植入宝石
"Bolstering Implants",强化植入体
"Motoric Implants",运动植入体
"Neurological Implants",神经植入体
"Gem Studded",嵌宝美玉
"Advanced Thaumaturgy",奇术深造
"Enhanced Effectiveness",强化效能
"Adaptive Capability",应变性能
"Integrated Efficiency",集成效率
"Thaumaturgical Infusion",奇术灌输
"Lead me through Grace...",降恩的指引
"...and Protect me from Harm",消灾的庇护
"I am the Thunder...",我即雷霆
"I am the Blizzard...",我即暴雪
"...and I Shall Rage",我即怒火
"Sunder my Enemies...",所向披靡
"...and Scatter Them to the Winds",风卷残云
"Faith is a Choice",选择信念
"The Soul Springs Eternal",意念永存
Volatility,无常
Leech,偷取
Darkness,黑暗
"Damage as Chaos",伤害转化为混沌
"Inner Turmoil",内在动荡
Unravelling,解析
"Sap of Nightmares",梦魇之液
"Chayula's Gift",夏乌拉之赐
"Choice of Power",力量的选择
"Embrace the Darkness",拥抱黑暗
"Grasp of the Void",虚空之握
"Deepening Shadows",深化暗影
"Choice of Mana",魔力的选择
"Choice of Life",生命的选择
"Lucid Dreaming",清明梦
"Projectile Proximity Specialisation",投射物近距离专精
Avidity,熟稔
"Thrilling Chase",热血追猎
"Called Shots",言出箭随
Bullseye,正中靶心
"Poison Effect",中毒效果
"Elemental Ailment Threshold",元素异常状态阈值
"Passive Points",天赋点数
"Running Assault",奔波袭击
"Contagious Contamination",蔓延灵药
"Overwhelming Toxicity",倾压剧毒
"Sustainable Practices",可持续操作
"Enduring Elixirs",耐久药剂
"Brew Concoction",酿造灵药
"Explosive Concoction",爆破灵药
"Shattering Concoction",碎冰灵药
"Fulminating Concoction",雷鸣灵药
"Acidic Concoction",酸性灵药
"Bleeding Concoction",创伤灵药
"Practical Remedies",务实疗法
"Dousing Vial",灭火之瓶
"Thawing Campfire",融冰的营火
"Grounding Stick",接地桩
"Traveller's Wisdom",旅人的智慧
"Critical Strike",暴击
Penetrate,穿透
"Predatory Instinct",掠食本能
"In for the Kill",直击要害
"Surging Avatar",涌动化身
"Elemental Surge",元素涌动
"Azmeri Brew",阿兹莫里调制
"Stalking Panther",匿影猎豹
"Mystic Harvest",神秘收割
"Reduced Mana",魔力降低
"Reduced Spirit",精神降低
"Reduced Resistances",抗性降低
"Life Recovery Rate",生命回复复速度
"Mystic Attunement",神秘协调
"Unfurled Finger",伸展的手指
"Intricate Sigils",精巧法印
"Mind Phylacteries",心灵护命
"Wildwood Persistence",荒林的韧性
"Corrupted Lifeforce",被腐化的命能
"As the Whispers Demand",如低语所愿
"[Jewel] Socket",[Jewel|珠宝]插槽
"Buckler Mastery",轻盾专精
"Companion Mastery",伙伴专精
"Infusion Mastery",灌注专精
"Banner Mastery",旗帜专精
"Thorns Mastery",荆棘专精
"Charms Mastery",咒符精通
"Crossbow Mastery",战弩专精
"Fire Resistance Mastery",火焰抗性专精
"Flail Mastery",连枷专精
"Power Charge Mastery",暴击球专精
"Quarterstaff Mastery",节杖专精
"Shapeshifting Mastery",变形专精
"Spear Mastery",战矛专精
"Totem Life and Damage",图腾生命和伤害
"Physical Damage and Ignore Physical Damage Reduction",物理伤害和忽略物理伤害减免
"Mana Leech Speed",魔力偷取速度
"Slower Rage Decay",延缓怒火衰减
"Maximum Rage and Armour",怒火上限和护甲
"Slower Rage Decay and Armour",延缓怒火衰减和护甲
"Savage Intensity",残暴增幅
"Veteran's Wrath",老兵之怒
"Armour, Chaos Resistance",护甲、混沌抗性
"Physical Damage, Armour",物理伤害，护甲
"Physical Damage, Melee Strike Range",物理攻击伤害，近战打击范围
"Physical Damage, Rage on Hit",物理伤害、击中时怒火
"Ancestral Fury",先祖狂怒
"Gore Dancer",伤痕舞者
"Life Regeneration, Warcry Duration",生命再生、战吼持续时间
"Sione, Sun's Roar",西奥妮，太阳之啸
"Evasion, Chance to Freeze",闪避、冻结几率
"Oath of Spring",春日誓言
"Evasion, Chance to Shock",闪避、感电几率
"Oath of Winter",凛冬誓言
"Evasion, Spell Suppression",闪避、法术压制
"Mother's Teachings",母亲的教诲
"Evasion, Chance to Ignite",闪避、点燃几率
"Oath of Summer",炎夏誓言
"Evasion, Elemental Ailment Duration",闪避、元素异常状态时间
"Avatar of the Wilds",荒野化身
"Evasion, Tincture Effect",闪避、酊剂效果
"Experienced Herbalist",资深草药师
"Enduring Suffusion",持久弥散
"Bringer of Ruin",湮灭使者
"Attack Speed, Bleed Chance",攻击速度、流血几率
"Jagged Technique",锯刃战技
"Determined Survivor",坚毅求存
"Measured Retaliation",慎重回敬
"More Than Skill",天眷英豪
"Attack Speed, Attack Damage",攻击速度、攻击伤害
"War of Attrition",持久鏖战
"Worthy Causes",可敬的大业
"Armour and Energy Shield, Shrine Buff Effect",护甲和能量护盾，神龛增益效果
"Calculated Risk",精算风险
"Shrapnel Specialist",破片专家
"Projectile Speed, Projectile Damage",投射物速度，投射物伤害
"Area of Effect, Trap and Mine Throwing Speed",范围效果，陷阱和地雷投掷速度
Warden,守望者
"Attack Mana Cost",攻击魔力消耗
"Staff Spell Block",长杖法术格挡
"Melee Area of Effect",近战效果范围
"Wild Hunger",荒野饥渴
"Awe and Terror",震慑惊惧
"Defiant Stand",笑傲群雄
"Renowned Deeds",英名冠世
"Banner Area of Effect",旗帜效果范围
"Banner Valour Gained",旗帜胆魄获取
"Banner Maximum Valour and Duration",旗帜胆魄上限和持续时间
"Banner Maximum Valour",旗帜胆魄上限
"Wicked Blade",残灵之刃
"Bleed Duration",流血持续时间
"Master of Wounds",创痕主宰
"Impale Chance and Attack Speed",穿刺几率和攻击速度
"Leader of the Pack",行伍领袖
"Spirit of War",战争英魂
"Slower Mana Burn",减慢魔力燃烧
"Tincture Effect",酊剂效果
"Practised Reapplication",娴熟涂抹
"Colloidal Mixture",胶质调和
"Perfected Formula",完美配方
"Feline Swiftness",迅如猛虎
"As The Mountain",稳若泰山
"Block and Armour",格挡与护甲
"Wall of Steel",钢壁坚垒
"As The Thunder",轰若惊雷
"Savage Skewering",残暴穿刺
"Nomadic Teachings",浪客的教诲
"Bleed and Critical Strike Chance",流血和暴击几率
"Aggravate Bleeding On Critical Strike Chance",暴击时恶性流血几率
"Cornered Prey",困兽犹斗
"Tincture Mana on Kill",酊剂击败时获得魔力
"Burst of Energy",能量爆发
"Flask and Tincture Effect",药剂和酊剂效果
"Roaring Challenge",怒嚎挑战
"Two Handed Melee Damage and Ignore Physical Damage Reduction",双手近战伤害和忽略物理伤害减免
"Spell Damage and Stun Recovery",法术伤害与晕眩回复
"Arcane Retaliation",秘术反击
"Spell Damage Over Time",持续法术伤害
"Spell Damage Over Time Multiplier",持续法术伤害加成
"Spell Damage Over Time Multiplier and Duration",持续法术伤害加成和持续时间
"Hasty Demise",迅疾陨灭
"Harsh Lessons",严厉教训
"Tincture Mastery",酊剂专精
"Vinespike Cordial",狂躁脊针
"Selective Precision",定向精准
"Legacy of the Wilds",荒野传承
"Hollow Effigy",空洞雕像
"Force of Darkness",黑暗之力
"Lasting Tempest",持久风暴
"Adaptive Steel",激变坚钢
"Always Angry",怒意难平
"Sione's Ambition",西奥妮的野心
"Bastion of Faith",信仰壁垒
"Beacon of Hope",希望道标
"Wood, Stone, and Spell",砖石与法术
"Jagged Wounds",锯齿创伤
"No Forgiveness",罪无可恕
"Deliberate Brutality",刻意凌虐
"Knowledge Barrier",学识壁垒
Incorporeal,无影无形
"Mixed Munitions",混合弹药
"Worship the Blightheart",崇拜菌潮之心
"Unrestrained Focus",不羁专注
"Careful Counterattack",慎重反击
"Prepared Response",预演响应
"Flow of Battle",战斗潮流
"Cruel Retort",残忍报复
"Indiscriminate Revenge",仇怨倾泻
"Crushing Reply",粉碎回敬
"Retaliation Skill Damage and Shield Block",反击技能伤害和盾牌格挡
"Retaliation Skill Damage",反击技能伤害
"Retaliation Skill Speed and Shield Spell Block",反击技能上海和盾牌法术格挡
"Retaliation Mastery",反击专精
"Retaliation Skill Usable Duration",反击技能可用时间
"Retaliation Skill Cooldown Recovery",反击技能冷却回复
"Retaliation Skill Speed",反击技能速度
"Retaliation Skill Area Of Effect",反击技能效果范围
"Retaliation Skill Stun Duration",反击技能晕眩时间
"Retaliation Skill Damage and Stun Threshold",反击技能伤害和晕眩阈值
"Arsenal of Vengeance",复仇军库
"Seasoned Hunter",资深猎手
"Bloodsoaked Blade",喋血之刃
"Chaos Resistance and Minion Damage",混沌抗性与召唤生物伤害
"Critical Strike Chance, Mark Effect",暴击率、印记效果
"Knife in the Back",背刺
"Critical Strike Chance, Poison Chance",暴击率、中毒几率
