"Lava Lash",熔岩之力
"Shocking Limit",感電上限
"Unstable Bond",不穩定連結
"Controlled Chaos",受控混沌
"Volatility on Kill",擊殺易爆效果
"Volatility when Stunned",暈眩易爆效果
"Volatility Detonation Time",易爆引爆時間
"Precise Volatility",精確易爆
"Glory Generation and Attack Damage",榮耀生成及攻擊傷害
"Glory Generation",產生榮耀
"Invigorating Grandeur",振奮宏偉
"Everlasting Glory",永恆榮耀
"Chance to not Consume Glory",不消耗榮耀機率
"Attack Damage and Presence Area",攻擊傷害和存在範圍
"Glorious Anticipation",榮耀期盼
"Thrill of the Fight",刺激戰鬥
"Ailment Duration",異常狀態持續時間
Hunter,獵手
"Curse Effect on you",你身上的詛咒效果
"Necromantic Ward",靈能保護
"Curse Effect on you and Life Regeneration Rate",自身詛咒效果與生命回復
"Movement Speed and Slow Effect on You",移動速度和你身上的緩速效果
Momentum,氣勢
"Light on your Feet",輕快腳步
"Reduced Movement Penalty and Attack Damage",減少移動懲罰和攻擊傷害
"Spray and Pray",隨興掃射
"Run and Gun",打帶跑
"Damage vs Immobilised and Buildup",對禁錮者的傷害和累積
"Damage vs Immobilised",對禁錮者的傷害
"Fearful Paralysis",恐懼癱瘓
"Ballista Immobilisation Buildup",砲塔禁錮累積
"Ballista Damage",砲塔傷害
"Ballista Attack Speed",砲塔攻擊速度
"Ballista Critical Strike and Damage",砲塔暴擊和傷害
"Ballista Critical Strike",砲塔暴擊
"Ballista Critical Damage",砲塔暴擊傷害
"Trained Turrets",受訓哨戒塔
"Artillery Strike",砲火打擊
"Fortified Location",強化陣地
"Kept at Bay",遏制
"Archon Duration",統治者持續時間
"Enduring Archon",恆久統治者
"Archon Delay",統治者延遲
"Resurging Archon",復行統治者
"Archon Effect and Duration",統治者效果及持續時間
"Invigorating Archon",振奮統治者
"Energising Archon",活力統治者
"Remnant Pickup Range",痕跡拾取範圍
"Remnant Effect",痕跡效果
"Empowering Remnants",強化痕跡
"Vigorous Remnants",蓬勃痕跡
"Arcane Remnants",秘術痕跡
"Spell Damage and Cast Speed",法術傷害和施放速度
"Secrets of the Orb",球體秘術
Flamewalker,火焰行者
"Chill Effect on You",你身上的冰緩效果
Frostwalker,寒霜行者
"Shock Effect on You",你身上的感電效果
Stormwalker,風暴行者
"The Great Boar",大野豬
"The Spring Hare",春兔
"Charge Duration",能量球持續時間
"Charge Duration and Dexterity",能量球持續時間和敏捷
"The Fabled Stag",傳說公鹿
"Reduced Attribute Requirements and All Attributes",減少能力值需求及全部能力值
"The Cunning Fox",狡狐
"The Frenzied Bear",狂暴熊
"Strength and Critical Damage Bonus on You",力量和對你的暴擊傷害加成
"The Raging Ox",怒牛
"The Wild Cat",野貓
"Ailment Magnitude",異常狀態幅度
"The Noble Wolf",高貴之狼
"Accuracy Rating",命中值
"The Winter Owl",冬鴞
"Aura Magnitude",光環幅度
"The Howling Primate",嗥猿
"Poison Duration on You",你身上的中毒持續時間
"The Ancient Serpent",遠古蝮蛇
"Sprint Movement Speed",衝刺移動速度
"Evasion while Sprinting",衝刺時的閃避
"Evasion and Movement Speed while Sprinting",衝刺時的閃避與移動速度
"Marathon Runner",馬拉松跑者
"Agile Sprinter",敏捷衝刺者
"Spell and Attack Damage",法術和攻擊傷害
"Walker of the Wilds",移形換影
"Crimson Assault",緋紅攻擊
"Trusted Kinship",可信之情
"Hollow Palm Technique",空掌之術
"Blackflame Covenant",黯炎盟約
"Ritual Cadence",祭祀終章
Warlord,總督軍
"Smith of Kitava",奇塔弗工匠
"Arcane Archer",秘能弓箭手
Amazon,亞馬遜
Beastmaster,馴獸大師
Ritualist,儀式行者
"Disciple of the Djinn",巨靈門徒
Deathmarked,死亡印記
Tactician,智勇軍師
Heretic,異教
Phantom,幻像
"Martial Artist",武術家
"Heat of the Forge",熔爐熱力
"Living Weapon",活體武器
"Against the Anvil",千錘百鍊
"Coal Stoker",添煤工
"Forged in Flame",烈焰鑄造
"Smith's Masterwork",鐵匠傑作
"Tantalum Alloy",鉭合金
"Padded Plates",墊鎧
"Lead Lining",鉛襯
"Support Straps",支撐綁帶
"Kitavan Engraving",奇塔弗雕紋
"Heavy Bracing",重型綁帶
"Leather Bindings",皮帶
"Flowing Metal",流體金屬
"Molten Symbol",熔化標誌
"Internal Layer",內裡
"Dedication to Kitava",奇塔弗奉獻
"Whispers of the Flesh",血肉低語
"Sanguine Tides",血紅之潮
"Crystalline Phylactery",晶化護符
"Rupture the Soul",割裂靈魂
"Necromantic Conduit",靈能導體
"Blackened Heart",黑化之心
"Soulless Form",無魂型態
"Eternal Life",永生
"Price of Power",力量的代價
"Eldritch Empowerment",異能賦予
"Incessant Cacophony",不斷爭吵
"Remnant Range",痕跡距離
"Multiplying Squalls",頻繁暴雨
"Storm's Recollection",風暴回憶
"Refracted Infusion",拆射灌注
"Curse Delay",詛咒延遲
"Cast Speed and Area of Effect",施放速度和範圍
Inevitability,不可避免
Spirit,精魂
"A Solid Plan",可靠的計畫
"Watch How I Do It",看看我怎麼辦事的
"Whoever Pays Best",待價而沽
"Suppressing Fire",火力抑制
"Right Where We Want Them",位置正好
"Polish That Gear",為齒輪拋光
"Stay Light, Use Cover",保持警覺，善用掩護
"Cannons, Ready!",砲彈準備好了！
"Unleash Hell!",火力全開！
"Strategic Embankments",戰術陣地
"Bolstering Implants",強化鑲嵌物
"Motoric Implants",機動鑲嵌物
"Neurological Implants",神經鑲嵌物
Volatility,易爆
Leech,偷取
"Damage as Chaos",額外混沌傷害
"Inner Turmoil",內心動盪
Unravelling,收心
"Sap of Nightmares",惡夢樹液
"Choice of Power",力量之選
"Deepening Shadows",加深陰影
"Choice of Mana",魔力之選
"Choice of Life",生命之選
Bullseye,靶心
"Elemental Ailment Threshold",元素異常狀態門檻
"Sustainable Practices",永續實踐
"Acidic Concoction",酸性混合物
"Practical Remedies",有效補救
"Dousing Vial",澆注瓶
"Thawing Campfire",解凍篝火
"Grounding Stick",接地棒
"Critical Strike",暴擊
Penetrate,穿透
"Predatory Instinct",獵食直覺
"In for the Kill",專注擊殺
"Surging Avatar",澎湃灌注
"Elemental Surge",元素湧動
"Azmeri Brew",阿茲莫里之酒
"Stalking Panther",潛伏獵豹
"Mystic Harvest",神秘豐收
"Reduced Mana",減少魔力
"Reduced Spirit",減少精魂
"Reduced Resistances",減少抗性
"Life Recovery Rate",生命回復率
"Mystic Attunement",神秘同調
"Unfurled Finger",展露之指
"Intricate Sigils",精妙符印
"Mind Phylacteries",心靈護符
"Wildwood Persistence",荒林堅毅
"Corrupted Lifeforce",腐化生命力
"As the Whispers Demand",正如低語所求
"Buckler Mastery",輕盾專精
"Companion Mastery",盟友專精
"Infusion Mastery",灌注專精
"Thorns Mastery",荊棘專精
"Chaos Resistance and Minion Damage",混沌抗性與召喚物傷害
"Physical Damage, Armour",物理傷害，護甲
"Physical Damage, Melee Strike Range",物理傷害，近戰打擊範圍
"Ancestral Fury",先祖之怒
"Gore Dancer",血腥舞者
"Bringer of Ruin",毀滅使者
"Worthy Causes",崇高志向
"Armour and Energy Shield, Shrine Buff Effect",護甲和能量護盾，神殿增益效果
"Critical Strike Chance, Mark Effect",暴擊率、印記效果
"Knife in the Back",背中之刃
"Critical Strike Chance, Poison Chance",暴擊率、中毒機率
"Critical Strike Chance, Spell Damage",暴擊率、法術傷害
"Mystical Infusion",神秘化身
"Critical Strike Chance, Life",暴擊率、生命
"Shadowed Blood",影血
"Assassination Style",刺殺姿態
"Infused Toxins",極致淬毒
"Calculated Risk",精算風險
"Shrapnel Specialist",彈片專家
"Projectile Speed, Projectile Damage",投射物速度，投射物傷害
"Area of Effect, Trap and Mine Throwing Speed",效果範圍，陷阱與地雷投擲速度
"Spell Damage and Stun Recovery",法術傷害與暈眩恢復
"Arcane Retaliation",秘術報復
"Spell Damage Over Time",法術持續傷害
"Spell Damage Over Time Multiplier",法術持續傷害加成
"Spell Damage Over Time Multiplier and Duration",法術持續傷害加成與持續時間
"Hasty Demise",倉促消亡
"Harsh Lessons",慘痛教訓
"Chaos Bloodline",混沌血裔
"Corruption's Embrace",腐化之擁
"Deceitful Servant",狡詐僕從
"Priest of Yaomac",堯馬克的祭司
"Priest of Kopec",科佩克的祭司
"Priest of Kamasa",卡瑪薩的祭司
"Vaal Souls",瓦爾之魂
"Oshabi Bloodline",奧莎比血裔
"The Primal Owl",原始貓頭鷹
"Seal gain frequency",封印獲取頻率
"The Wild Bear",荒野之熊
Rage,狂怒
"The Vivid Cat",鮮活之貓
"Elusive effect",朦朧效應
"Nameless Bloodline",無名血裔
"The Unseen Hand",未見之手
"Toad's Price",蟾蜍的代價
"Serpent's Price",腹蛇的代價
"Beetle's Price",甲蟲的代價
"Unlight Silhouette",無光輪廓
"Catarina Bloodline",卡塔莉娜血裔
" Death Offering",死亡奉獻
"Umbral Army",幽影軍團
"Prolonged Servitude",無期奴役
"Aul Bloodline",奧爾血裔
" Precursor's Release",先行者的釋放
Defences,防禦
"Legacy of the King",王之遺產
"The King's Contempt",王之蔑視
"The King's Heritage",王之傳承
"The King's Might",王之威能
"Lycia Bloodline",利希亞血裔
"Bitter Heresy",苦澀異端
"Sinner Saint",罪人聖徒
"Farewell to Flesh",告別血肉
"Herald and Minion Damage",捷光環與召喚物傷害
"Olroth Bloodline",奧爾羅斯血裔
"Enhanced Starlight",增幅星光
Ward,保護
"Volatile Runes",易爆符文
"Runic Boon",符文恩賜
"Boon of the River",河之祝福
"Boon of the Mountain",山之祝福
"Boon of the Sun",日之祝福
"Farrul Bloodline",費爾羅血裔
Huntleader,狩獵領袖
"Primal Roar",原始咆哮
"Farrul's Will",費爾羅之志
"Farric Will",費爾羅之志
"Fertile Will",豐富之志
"Wild Will",狂野之志
"Maximum Spectres and Minion Life",最大幽魂數和召喚物生命
Delirious,譫妄
"You're the crazy one!",你才是瘋子！
"It wasn't me!",不是我！
"That didn't happen!",那沒有發生！
"Life Recovery rate",生命恢復率
Breachlord,裂痕領主
"Esh of the Storm",艾許之風暴
" Lightning Damage",閃電傷害
"Tul of the Blizzard",托沃之暴雪
"Otherworldly Appendages",超凡附肢
"Maximum Life",最大生命
"Surpassing Arrow Chance",滿溢箭矢機率
"Quick Fingers",迅捷手指
"Parry Area",招架範圍
"Off-Balancing Retort",側身擊中
"Parried Debuff Magnitude",受招架持續時間
"Parried Debuff Magnitude and Duration",護盾閃避值
"Bolt Speed",弩箭速度
"Specialised Shots",專精射擊
"Evasion and Reduced Movement Penalty",閃避
"Iron Slippers",鋼鐵拖鞋
"Energy Shield and Armour applies to Elemental Resistance",能量護盾與護甲作用於元素抗性
"Armour and Energy Shield Delay",護甲與能量護盾延遲
"Ruinic Helm",符文堅盔
"Parry Area and Debuff Magnitude",招架範圍與減益幅度
"Parry Debuff Magnitude",招架減益幅度
"Reverberating Parry",回響招架
"Life Regeneration and Damage",生命回復及傷害
"Bonded Precision",契合精準
"Mauling Stuns",暈眩累積
"Maximum Rage while Shapeshifted",盛怒損失較晚開始
"Primal Rage",原始怒火
"Invigorating Hate",激發仇恨
"Rage Decay",盛怒的固有損失減慢
"Mystical Rage",神秘盛怒
"Rage on Ignite",點燃時獲得盛怒
"Chill Magnitude and Duration",冰緩幅度和持續時間
"Chill Magnitude",冰緩幅度
"Freeze Threshold",冰凍門檻
"Cold Coat",寒霜外衣
"Freeze Buildup and Skill Effect Duration",冰凍累積和技能效果持續時間
"Skill Effect Duration",技能效果持續時間
"Blessing of the Moon",月之祝福
"Toxic Sludge",劇毒泥漿
"Fire Damage when consuming an Endurance Charge",消耗耐力球時的火焰傷害
Flare,閃焰
"Recover Mana on consuming Power Charge",消耗暴擊球的魔力回復
"Well of Power",力量之井
"Infusion and Power Charge Duration",灌注與暴擊球持續時間
"Infusion of Power",力量灌注
"Power Charge Duration and Energy Shield",暴擊球持續時間與能量護盾
"Thirst for Power",暴擊渴求
"Endurance Charge Duration and Armour",耐力球持續時間與護甲
"Thirst for Endurance",耐力渴求
"Attack Speed and Minion Attack Speed",攻擊速度與召喚物攻擊速度
"Among the Hordes",部族之上
"Spell Hinder",釋放封印產生
"Seal Generation Frequency",法術
"Wasting Casts",懸念
"Flammability Magnitude and Fire Damage",易燃幅度與火焰傷害
"Ignite Magnitude and Poison Magnitude",更快點燃與更快中毒
"Dread Engineer's Concoction",驚懼工匠之藥劑
"Fire Damage and Attack Damage",火焰傷害與攻擊傷害
"Blazing Arms",炽焰武臂
"Ichlotl's Inferno",伊克羅特之獄炎
"Faster Ignites and Flammability Magnitude",更快點燃與易燃幅度
"Engineered Blaze",工匠之焰
"Attack Cold Damage and Freeze Buildup",攻擊冰冷傷害與冰凍累積
"Biting Frost",寒霜噬咬
"Attack Cold Damage",攻擊冰冷傷害
"Deep Freeze",深度冷凍
"Empowered Attack Freeze Buildup",強化攻擊冰凍累積
Hail,冰雹
Constricting,緊縮
"Physical Damage and Increased Duration",物理傷害和增加持續時間
"Physical Damage and Reduced Duration",物理傷害和減少持續時間
"Plant Skill Damage",植物技能傷害
"Boundless Growth",無限生長
"Return to Nature",回歸自然
"Dangerous Blossom",危險綻放
"Proliferating Weeds",雜草叢生
"Mana Regeneration and Skill Speed",魔力回復
"Mana Regeneration and Critical Chance",魔力回復
"Mana Recoup",魔力補償
"Arcane Surge Spell Damage",秘能波動法術傷害
"Arcane Nature",奧術本質
"Attack Elemental Damage",攻擊元素傷害
"Saqawal's Guidance",薩卡沃的指引
"Increased Duration and Stun Threshold",增加持續時間和暈眩門檻
"Grounded in the Earth",腳踏實地
"Shapeshifted Damage",飛龍
"Shapeshifted Skill Speed",變形狀態技能速度
"Shapeshifted Physical Damage",型態幻型物理傷害
"Shapeshifted Elemental Penetration",型態幻型元素穿透
"Shapeshifting Critical Hit Chance",型態幻型暴擊率
"Piercing Claw",穿刺之爪
"Shapeshifting Spell Damage",型態幻型法術傷害
"Boon of the Beast",野獸之賜
"Shapeshifting Attack Damage",型態幻型攻擊傷害
"Shifted Strikes",變形打擊
"Bear's Roar",熊之咆吼
"Wyvern's Breath",飛龍之息
"Wolf's Howl",狼嚎
"Shapeshifting Elemental Ailment Chance",變形
"Shapeshifting Stun Buildup",變形
"Shapeshifting Armour applies to Elemental Resistance",變形護甲同時套用至元素抗性
"Energy Shield Delay while Shapeshifted",變形狀態能量護盾充能延遲
"Insulating Hide",絕緣獸皮
"Shapeshifted Armour",變形狀態護甲
"Shapeshifted Damage against Immobilised",變形狀態對被定身者傷害
"Molten Claw",熔岩之爪
"Spirit of the Bear",巨熊之靈
"Hide of the Bear",巨熊獸皮
"Bashing Beast",猛擊野獸
"Shapeshifted Life Regeneration",變形狀態生命回復
"Shapeshifted Life Leech",變形狀態生命偷取
"Shapeshifted Critical Chance",變形狀態暴擊率
"Blood of the Wolf",惡狼之血
"Spirit of the Wolf",靈魂之狼
"Howling Beast",野獸嚎叫
"Frozen Claw",冰凍之爪
"Scales of the Wyvern",飛龍鱗片
"Spirit of the Wyvern",靈魂之龍
"Shapeshifted Elemental Damage",變形元素傷害
"Shapeshifted Accuracy Rating",變形狀態命中值
"Shapeshifted Energy Shield Recharge",變形狀態能量護盾充能
"Shapeshifted Energy Shield Delay",變形狀態能量護盾充能延遲
"Electrified Claw",電擊之爪
"Surging Beast",洶湧野獸
Shaman,薩滿
"Adaptive Skin",適應皮膚
"Dimensional Weakspot",維度弱點
"Companion Damage and Companion Life",盟友傷害和盟友生命
"Exposure Effect and Slow Effect",曝曬效果與緩速效果
"Alchemical Oil",煉金之油
"Attack Area and Combo",攻擊範圍與連擊
"Attack Area Damage",攻擊範圍傷害
"Frantic Reach",狂亂延伸
"Resolute Reach",堅定延伸
"Dizzying Sweep",眩旋橫掃
"Disciplined Training",紀律訓練
"Attack Area and Flammability Magnitude",攻擊範圍與易燃幅度
"Area of Effect and Damage",範圍效果與傷害
"Encompassing Domain",包覆領域
"Sling Shots",彈弩射擊
"Surpassing Projectile Chance",滿溢投射物機率
"Multi Shot",多重箭矢
"Projectile Speed and Physical Damage",投射物速度與物理傷害
"Swift Flight",馭天
"Physical Damage and Ailment Chance",物理傷害與異常狀態機率
"Hidden Barb",隱蔽尖刺
"Emboldening Casts",鼓舞詠唱
"Enhancing Attacks",增強攻擊
"Attack and Minion Damage",攻擊和召喚物傷害
"Commanding Rage",號令怒火
"Intense Dose",劇烈劑量
"Ailment Chance and Duration",異常狀態機率和持續時間
"Ailment Chance and Elemental Damage",異常狀態機率和元素傷害
"Nature's Bite",自然之噬
"Captivating Companionship",迷人陪伴
"Hunting Companion",狩獵盟友
"Companion Damage",盟友傷害
"Rallying Form",集會結成
"Damage with Companion in Presence",盟友存在範圍傷害
"Attack Speed with Companion in Presence",盟友存在範圍攻擊速度
"Pack Encouragement",鼓勵裝套
"Companion Resistance and Life",盟友抗性和生命
"Life and Mana Regeneration Rate",生命及魔力回復率
"Licking Wounds",舔舐傷口
"Delayed Danger",延遲危險
"Rage on Melee Hit",近戰擊中獲得盛怒
"Craving Slaughter",渴望屠殺
"Attack Damage while Moving",移動時攻擊傷害
"Reduced Movement Penalty and Attack Damage while Moving",減少移動懲罰和移動時攻擊傷害
"Ailment Threshold and Slow Effect on You",異常狀態門檻和你身上的緩速效果
"Against the Elements",元素對抗
"Additional Remnant Chance",痕跡拾取範圍
"Remnant Attraction",痕跡拾取範圍
"Channelling Damage and Speed",引導傷害和速度
"Channelling Damage",引導傷害
"Channelling Speed",引導速度
"Focused Channel",重點引導
"Channelling Damage and Defences",引導傷害和防禦
"Channelling Defences",引導防禦
"Draiocht Cleansing",魔幻清晰
"Totem Area of Effect",圖騰效果範圍
"Rustle of the Leaves",葉片沙沙
"Mighty Trunk",強壯樹幹
"Totem Cast and Attack Speed and Elemental Resistance",圖騰施放和攻擊速度和元素抗性
"Attack Added Lighting Damage",攻擊附加閃電傷害
"Innate Rune",天生符文
"Cower Before the First Ones",第一族面前畏懼
"Damage Mastery",傷害專精
"Her Final Bite",她的最後一口
"Calculated Hunter",精算獵者
"Rough Carapace",粗糙甲殼
"Limitless Pursuit",無盡追獵
"Movement Mastery",移動專精
"Deadly Thorns",致命荊棘
"Everlasting Bloom",永綻之華
"Power of the Storm",風暴之力
"Invocation Mastery",祈禱精通
"Call Upon the Deep",呼喚深淵
"First Sting",首道毒刺
"Scent of Blood",血腥氣息
"Bleed Mastery",流血精通
"Forbidden Path",禁忌之徑
"Minion Mastery",召喚物專精
"Life Costs and Regeneration",生命消耗和回復率
"Give Up Your Essence",放棄你的精髓
"Nurturing Nature",滋養自然
"Armour and Block Chance",護甲和格擋機率
"Unmoving Craiceann",不動克雷肯
"Shelter from the Rain",避雨之所
"Armour while Bleeding",流血時護甲
"Vale Dweller",谷地棲息者
"Unquenchable Iron",不滅之鐵
"Stun and Elemental Threshold",暈眩與元素異常門檻
"Elemental Threshold",元素異常門檻
"Flesh Withstands",肉體承受
"Life Costs and Chaos Damage",生命消耗和混沌傷害
"Relinquish Your Life",放棄你的生命
"Corruption Endures",腐化永存
Mentorship,導師
"Ally Damage",友方傷害
"Ally Attack and Cast Speed",友方攻擊和施法速度
"Self Sacrificing",自我犧牲
"Trusted Partner",值得信賴的盟友
"Friend to Many",眾生之友
"Known by All",眾所周知
"Gain Maximum Power Charges on Gaining Power Charge",獲得暴擊球時增加暴擊球上限
"Gift of the Plains",平原的恩賜
"Gain Maximum Frenzy Charges on Gaining Frenzy Charge",獲得狂怒球時增加狂怒球上限
"Prize of the Hunt",狩獵的戰利品
"Gain Maximum Endurance Charges on Gaining Endurance Charge",獲得耐力球時增加耐力球上限
"Strength of the Deep",深淵之力
"Strength and Spell Damage",力量和法術傷害
"Powerful Casting",強力施法
"Chance to Poison and Spell Damage",中毒機率和法術傷害
"Night's Bite",夜之噬
"Archon Duration and Critical Damage",執政官持續時間和暴擊傷害
"Exhaust All Power",耗盡全能
"Channelling Stun Threshold",引導時暈眩門檻
"Channelling Life Recoup",引導時生命補償
"Meditative Focus",冥想專注
"Shapeshifted Aftershock Chance",變形狀態餘震機率
"Echoes of Ferocity",兇殘迴響
"Shapeshifted Skill Effect Duration",變形狀態技能效果持續時間
"Endlessly Soaring",無盡翱翔
"Shapeshifted Mana Regeneration",變形狀態魔力再生
"Lunar Boon",月之恩賜
"Hidden Forms",潛藏型態
"Damage and Minion Damage",傷害和召喚物傷害
Comradery,同袍情誼
"Anger Management",憤怒管理
"Primal Hunger",原初飢餓
"Scarred Faith",創傷信仰
"Lord of the Wilds",荒野領主
"Wildsurge Incantation",荒野湧浪咒
"Disciple of Varashta",瓦拉什塔門徒
Oracle,先知
"Mountain Splitter",勢不可擋
"Kitavan Imprint",奇塔弗銘刻
"Spiked Plates",尖刺鎧甲
"Tribute to Utula",烏圖拉的貢禮
"Sacred Rituals",神聖儀式
"The Fourth Teaching",第四教誨
"Varashta's Intuition",瓦拉什塔的直覺
"Instruments of Power",力量之器
"Baryanic Leylines",巴雅地脈
"Barya of Navira",納維拉的巴雅
"Barya of Kelari",克拉里的巴雅
"Barya of Ruzhan",魯兹安的巴雅
"Navira's Fracturing",納維拉的分裂
"Navira's Well",納維拉之井
"Navira's Oasis",納維拉綠洲
"Kelari's Deception",克拉里的欺瞞
"Kelari's Judgment",克拉里的審判
"Kelari's Malediction",克拉里的惡咒
"Ruzhan's Trap",魯兹安的陷阱
"Ruzhan's Reckoning",魯兹安的清算
"Ruzhan's Fury",魯兹安的狂怒
"Critical Damage Bonus on You",對你的暴擊傷害加成
"Critical Hit Chance",暴擊機率
"Entwined Realities",旅者之智
"The Unseen Path",未見之道
"Harmony Within",心宇和諧
"Converging Paths",交錯道途
"Fateful Vision",命見視野
"Unnamed Heartwood",無名心木
"The Lesser Harm",微小損害
"Forced Outcome",強制結果
"Turning of the Seasons",季節循環
"Bringer of the Apocalypse",災厄信使
"Druidic Champion",德魯伊之冠
"Reactive Growth",反應性生長
"Avatar of Evolution",演化化身
"Furious Wellspring",狂怒源泉
"Sacred Flow",神聖流向
"Wisdom of the Maji",聖賢智慧
"Mirage Deadeye",幻影銳眼
"Path Seeker",有效補救
"Path of the Sorceress",澆注瓶
"Channelling Mastery",引導專精
"Endurance Charge Mastery",耐力球專精
"Attack Area of Effect and Accuracy",攻擊範圍效果和命中
"Glory of Command",號令榮耀
"Shining Justice",閃耀正義
"Consecrated Ground Effect",奉獻地面效果
"Consecrated Ground Effect and Accuracy",奉獻地面效果與命中
"Hallowing Flame Effect",聖徒烈火效果
"Marshal of Divinity",神志元帥
"Caster Weapon Display",施法武器展示架
"Martial Weapon Display",軍用武器展示架
"Armour Display",護甲展示架
"Jewellery Display",飾品展示架
"Tear of Purity",純淨之淚
Astramentis,均衡之符
"Warped Timepiece",扭曲之鐘
"Terminus Est",行刑之刃
"Replica Heartbreaker",贗品．裂心刃
"Maw of Conquest",雛鳥之征
"The Burden of Shadows",沉重陰影
"Cadigan's Authority",卡迪根的權威
"Maata's Teaching",瑪塔的教導
Widowhail,鰥寡之托
"Beltimber Blade",刀鋒禁材
"Jack, the Axe",劊子手．傑克
"Victario's Influence",維多里奧之絕響
"Kiloava's Bluster",基洛阿瓦的咆嘯
"Veruso's Ambition",維盧梭的野心
"The Burden of Truth",真理負擔
"Prospero's Protection",普洛斯彼羅的守護
"Astral Projector",星空之影
"Mystic Refractor",神秘的折射器
"Cybil's Paw",希比爾的冰爪
"Kitava's Feast",奇塔弗之盛宴
"Grace of the Goddess",女神恩典
"The Brass Dome",堅銅戰罩
Scavenger,撿拾者
"Holy Word",神聖之言
"Fiery Aegis",烈炎聖盾
Cryogenesis,霜晶滅世
Necromantic,死靈掌控
"Bound Flesh",血肉結合
"Afarud Ritual",阿法魯德祭儀
"Bitter Lash",苦澀鞭笞
